,EC-NUMBER,SUBSTRATES,PRODUCTS,GIBBS
8235,EC-3.1.4.58,"['WATER', 'DGTP']","['PROTON', 'P3I', 'DEOXYGUANOSINE']",2.536438
8236,EC-3.1.5.1,"['CPD-13445', 'WATER']","['CPD-13458', 'SULFATE', 'PROTON']",-51.991271999999995
8237,EC-3.1.6,"['CPD-13446', 'WATER']","['CPD-13457', 'SULFATE', 'PROTON']",-51.367187
8238,EC-3.1.6.1,"['4-DEOXY-BETA-D-GLUC-4-ENURONOSYL-6S', 'WATER']","['PROTON', 'CPD-36', 'SULFATE']",-51.367126
8239,EC-3.1.6.10,"['N6-O-disulfo-D-glucosamine', 'WATER']","['N-sulfo-D-glucosamine', 'PROTON', 'SULFATE']",-51.367126
8240,EC-3.1.6.11,"['CHONDROITIN-4-SULFATE', 'WATER']","['Chondroitin-N-acetyl-galactosamines', 'SULFATE', 'PROTON']",-62.26239
8241,EC-3.1.6.12,"['Heparan-sulfate-L-IdoA-2S', 'WATER']","['Heparan-sulfate-L-iduronate', 'SULFATE', 'PROTON']",-61.0141
8242,EC-3.1.6.13,"['Dermatan-sulfate-L-IdoA2S', 'WATER']","['DERMATAN-L-IDURONATE', 'SULFATE', 'PROTON']",-69.94537
8243,EC-3.1.6.13,"['CPD-17701', 'WATER']","['CPD-17714', 'SULFATE', 'PROTON']", -50.118866
8244,EC-3.1.6.14,"['Keratan-sulfate-NAcGlcN6S', 'WATER']","['Keratan-sulfate-NAcGlc', 'SULFATE', 'PROTON']",-62.26239
8245,EC-3.1.6.15,"['WATER', 'CPD-545']","['PROTON', 'SULFATE', 'METOH']",-48.76123
8246,EC-3.1.6.16,"['WATER', 'CPD-542']","['PROTON', 'SULFATE', 'L-LACTATE']",-51.79712
8247,EC-3.1.6.17,"['Chondroitin-sulfate-GlcA2S', 'WATER']","['Chondroitin-D-glucuronates', 'SULFATE', 'PROTON']",-61.638275
8248,EC-3.1.6.18,"['Heparan-sulfate-GlcA2S', 'WATER']","['Heparan-sulfate-D-glucuronate', 'SULFATE', 'PROTON']",-61.0141
8249,EC-3.1.6.19,"['ESTRONE-SULFATE', 'WATER']","['ESTRONE', 'SULFATE', 'PROTON']",-51.991257
8250,EC-3.1.6.2,"['BETA-HYDROXYANDROST-5-EN-17-ONE-3-SULFAT', 'WATER']","['3-BETA-HYDROXYANDROST-5-EN-17-ONE', 'SULFATE', 'PROTON']",-51.991257
